appraiser_name,study_id,paper_title,start_time,item_1,item_1_comment,item_2,item_2_comment,item_3,item_3_comment,item_4,item_4_comment,item_5,item_5_comment,item_6,item_6_comment,item_7,item_7_comment,item_8,item_8_comment,item_9,item_9_comment,item_10,item_10_comment,item_11,item_11_comment,item_12,item_12_comment,item_13,item_13_comment,item_14,item_14_comment,overall_comment,finish_time
Edward Purssell,s_03,A Systematic Review and Meta-Analysis of the Effectiveness of Non-Face-to-Face Coaching,6.15,Yes,CMA (Comprehensive Meta-Analysis) 3.0 program,,Used CMA software,Yes,"PRISMA flow chart, text, table",Yes,,Yes,"Standardized ES, using Cohen's rules of thumb",Yes,Random effects,No,No forest plot,No,No evidence this is a problem in this study though,Yes,,Yes,Section 2.4 has extensive discussion,Yes,Section 2.3,Yes,There are extensive sub-analyses.  ,No,"Table 1 contains the standardized ES, but not the raw data",Yes,Table 1,"This is an unusual MA, very extensive sub-analyses on a smallish number of studies",6.35
Shanika Nanayakkara,s_03,A Systematic Review and Meta-Analysis of the Effectiveness of Non-Face-to-Face Coaching,17:05,Yes,Section 2.2,No,,Yes,Figure 1,No,,No,,Yes,Both in methods and results sections,Yes,,No,,Yes,Results-text and tables,Yes,Both methods and results,Yes,Methods 2.3,No,,Yes,Table 1,Yes,Table 1,,17:20
Kyle Morrison,s_04,Adult Organophosphate and Carbamate Insecticide Exposure and Sperm Concentration: A Systematic Review and Meta-Analysis of the Epidemiological Evidence,8:40,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,github,this paper was amazing - almost better than us,8:45
Shinichi Nakagawa,s_04,Adult Organophosphate and Carbamate Insecticide Exposure and Sperm Concentration: A Systematic Review and Meta-Analysis of the Epidemiological Evidence,10:41,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,10:48
Silvina Magdalena Manrique,s_04,Adult Organophosphate and Carbamate Insecticide Exposure and Sperm Concentration: A Systematic Review and Meta-Analysis of the Epidemiological Evidence,11:00,Yes,R statistical software,Yes,"The R code can also be found at the end of the Supplemental Material file, “R Code",Yes,Figure 1.,Yes,Figure 3,Yes,"Hedges’ g effect sizes
(Table S8)",Yes,", multivariate random-effect meta-analysis model with cluster-robust
variance estimation",Yes,Weights were calculated using the generic inverse variance method,Yes,estimation was employed to account for both hierarchical and correlational dependencies in the effect size... and table S6,Yes,"was −0:30 (95% CI: −0:49, −0:10; PSatt < 0:01) and figure 3",Yes,"Statistical significance of heterogeneity beyond sampling
error was tested using the Q-test statistic based on a chi-square
distribution.82,83 Corresponding I2 statistics were calculated
using the var.comp function available in dmetar,
70 representing
the proportion of total heterogeneity that can be attributed to each
level of random effect.84",Yes,"A modified Egger’s meta-regression test92
using cluster-robust variance estimation was used to examine the
impact of study precision on study-reported effect sizes",Yes,"Transformed effect sizes were
removed in a sensitivity analysis",Yes,supplementary material ,Yes,"supplementary material,",,11:14
Evangelia Ntzani,s_04,Adult Organophosphate and Carbamate Insecticide Exposure and Sperm Concentration: A Systematic Review and Meta-Analysis of the Epidemiological Evidence,10:06,Yes,"To generate the forest plot, study-speciﬁc Hedges’ g
eﬀect sizes were exported from R and imported into Tableau
Public (version 2022.4.0) for visualization.",Yes,"tudy results data, including log to raw scale back-transformations
and beta coeﬃcient homogenization (sheet 2), as well as the R code
used to calculate Hedges’ g eﬀect sizes are available on GitHub
(https://github.com/Lauren-Ellis/Ellis-et-al.-2023-OP-NMC-
Insecticides-and-Sperm-Concentration). The R code can also
be found at the end of the Supplemental Material ﬁle, “R Code",Yes,"Of the 3,827 records retrieved in the literature search, 325 reports
were sought for retrieval (Figure 1). All reports sought for re-
trieval and their corresponding screening results are provided in
Excel Table S1. 23 reports were inaccessible, largely owing to a
lack of digitization of studies conducted prior to the year 2000.
Of the 302 accessible reports assessed for eligibility, 27 reports
were included in the systematic review,53–60,62,63,66,67,100–114 rep-
resenting 25 unique studies",Yes,"Primary meta-analysis results. Across 20 studies, 21 study popu-
lations, 42 eﬀect sizes, and 1,774 adult men, the pooled bias-
corrected standardized mean diﬀerence (G Pooled ) in sperm con-
centration between men more- and less-exposed to OP and NMC
insecticides was −0:30 (95% CI: −0:49, −0:10; PSatt < 0:01)
(Table 3). ",Yes,Page 116001-5 and 116001-6,Yes,"For all meta-analyses, a three-level, multivariate random-eﬀect
model71 with cluster-robust variance estimation was employed to
account for both hierarchical and correlational dependencies in the
eﬀect size data",Yes,"Weights were calculated using the generic
inverse variance method. 

Plus figure 3",Yes,"he primary pooled eﬀect estimate was also robust to changing model parameters (the assumed correlation between dependent eﬀect sizes and the het- erogeneity estimate) as well as data manipulations (imputations of missing data, log to raw scale back-transformations, and eﬀect size transformations) (Excel Table S4). However, ﬁxing heterogeneity estimates at the lower-bounds of their Q-proﬁle conﬁdence intervals. ",Yes,"Text, forest plot and supplements",Yes,Supplement,Yes,"The review team did not ﬁnd evi-
dence of an association between-study precision (1= ﬃﬃﬃ
n
p ) and
eﬀect size (PSatt = 0:31), ruling out small-study eﬀects. It is possi-
ble that some degree of publication bias remains because small-
study eﬀects are only one source of publication bias. Moreover,
one of the inaccessible reports identiﬁed in the systematic litera-
ture search relates to OP exposure and semen quality and could
therefore be relevant to the results of this review; however, the
abstract and report were unavailable.",Yes,"ensitivity meta-analyses results. Removal of outlier and in-
ﬂuential eﬀect sizes from the primary meta-analysis did not
impact the statistical signiﬁcance of the observed association
between higher OP and NMC insecticide exposure and lower
sperm concertation (Excel Table S4). The primary pooled eﬀect
estimate was also robust to changing model parameters (the
assumed correlation between dependent eﬀect sizes and the het-
erogeneity estimate) as well as data manipulations (imputations
of missing data, log to raw scale back-transformations, and
eﬀect size transformations) (Excel Table S4). However, ﬁxing
heterogeneity estimates at the lower-bounds of their Q-proﬁle
conﬁdence intervals rendered the pooled eﬀect estimate statisti-
cally insigniﬁcant (PSatt = 0:07).
The removal of studies with high or probably high risk of
bias in three domains (recruitment strategy, exposure assessment,
and confounding) reduced the magnitude of the negative pooled
eﬀect estimate, whereas the removal of studies with high
or probably high risk of bias in the other domains. ",Yes,"Study results data, including log to raw scale back-transformations and beta coefficient homogenization (sheet 2), as well as the R code used to calculate Hedges’ g effect sizes are available on GitHub (https://github.com/Lauren-Ellis/Ellis-et-al.-2023-OP-NMC-Insecticides-and-Sperm-Concentration)",Yes,"yes, GitHub",Optimum reporting quality,10:19
Francesco Latterini,s_04,Adult Organophosphate and Carbamate Insecticide Exposure and Sperm Concentration: A Systematic Review and Meta-Analysis of the Epidemiological Evidence,14:52,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,14:56
Kyle Morrison,s_05,Air pollution and public health in Latin  America and the Caribbean (LAC): a systematic  review with meta-analysis,13:26,Yes,,,revman,Yes,,No,,No,,No,,No,,No,,Yes,for each subgroup,Yes,,No,,No,,No,,,,,15:33
Kiran T M,s_05,Air pollution and public health in Latin  America and the Caribbean (LAC): a systematic  review with meta-analysis,14:42,Yes,Reported in methodology section,,Authores used menu driven software,Yes,Reported in PRISMA framework,No,Not reported however we can count manually,No,,No,,Yes,Reported in Result section Fig.2,No,,Yes,Reported in result section,Yes,Reported in result section Fig.2,No,Although authers mentioned that they have assessed publication bias but the results are reported,No,,Yes,All the data used in the study are reported in manuscript itself,Yes,Varibale are described in table 2,This study satisfies 8 out of 14 items of MATES,15:01
Mojtaba Keikha,s_05,Air pollution and public health in Latin  America and the Caribbean (LAC): a systematic  review with meta-analysis,18:08,Yes,,,,Yes,,No,,No,,No,Just seen according to Forest plots and not clearly mentioned in the main text.,No,,No,,Yes,,Yes,,No,,No,,No,,Yes,,This is a Meta Analysis with only 4 included studiese.,18:22
Kyle Morrison,s_06,Ambient Air Pollution and Vision Disorder: A Systematic Review and Meta-Analysis,7:55,Yes,Stata,No,Use stata which is can produce syntax - I see this being tricky for people ,Yes,"In results, figure 1",No,,Yes,Although not sure if the formula is actually correct,Yes,"When the values of I2 were greater than 50%, the random-effects inverse-variance model was used to compute the combined estimates",No,"This I am slightly unsure about - states the model is random-effects inverse-variance model but doesn't ,mention the inverse variance is the weights. ",No,,Yes,In forest plot,Yes,Uses I2,Yes,Egger's test and reports forest plot,Yes,"The stability of the pooled data was evaluated using the one-study deletion sensitivity analysis, which involved repeatedly combining estimations and removing one study at a time.",Yes,Reports the study characteristics but not data to calculate effect sizes - this may be a source of confusion for some people,No,,,8:04
Pietro Pollo,s_06,Ambient Air Pollution and Vision Disorder: A Systematic Review and Meta-Analysis,16:54,Yes,"Page 3, section 2.5: ""Statistical analysis was carried out using Stata 17.0.""",,Point-and-click software.,Yes,"Page 4, Figure 1",No,Not found,No,"A formula is shown in page 3, section 2.4. However, it depends on odds ratio, an effect size formula that was not explained to readers. ",Yes,"Mentioned in page 3, section 2.5: ""When the values of I2 were greater than 50%, the random-effects inverse-variance model was used to compute the combined estimates.""",No,Not found,No,Not found,Yes,End of page 7.,Yes,End of page 7. ,Yes,"Page 9, section 3.5.",Yes,"Page 9, section 3.5.",Yes,Tables 2 and 3.,No,"Data given in tables within manuscript, so metadata was perhaps unnecessary.",NA,17:10
Patrice Pottier,s_06,Ambient Air Pollution and Vision Disorder: A Systematic Review and Meta-Analysis,16:10,Yes,Stata 17.0,,The authors used Stata 17.0 (point and click),Yes,In the result section and Figure 1,No,,Yes,,Yes,"""When the values of I2 were greater than 50%, the random-effects inverse-variance
model was used to compute the combined estimates""",No,"""When the values of I2 were greater than 50%, the random-effects inverse-variance
model was used to compute the combined estimates"". They also report the percentage of weights in Figures, but not how the weights were calculated.",No,"DId not mention non-independence, but did perform a random effect model",Yes,,Yes,I2,Yes,"Funnel plot, Egger's tests",Yes,Subgroup and sensitivity analyses,Yes,"They report the effect sizes extracted from the original studies, which they further convert to their own effect size. However, the data on original units is not provided. The data is provided in Tables in the main text.",No,"They provide the data, but descriptions of each column are not provided (or briefly in the text). ","They did not report how the sampling variance was calculated so I ticked ""no"" for Item 7; although they provided the % of weights in the figures. They also did not discuss non-independence, but did perform a random-effects model (Item 8).",16:33
April Robin Martinig,s_06,Ambient Air Pollution and Vision Disorder: A Systematic Review and Meta-Analysis,12:13,Yes,Strata,,Strata is a point-and-click software.,Yes,,No,,Yes,,Yes,,No,,No,,Yes,Figure 2,Yes,,Yes,,Yes,,Yes,"They include the data in Table 3. It is unclear if this is all the data, but it is something. Author statement: ""The original data presented in the study are included in the article/Supplementary Materials; further inquiries can be directed to the corresponding authors""",Yes,,,12:26
Coralie Williams,s_06,Ambient Air Pollution and Vision Disorder: A Systematic Review and Meta-Analysis,11:50,Yes,"""Statistical analysis was carried out using Stata 17.0."" in methods",No,,Yes,"""Twelve studies [3,5,10,12,13,20,21,22,23,24,25,26] evaluating the relationship between air pollutant exposure and the risk of vision disorder outcomes were included in this meta-analysis.""",No,,Yes,In methods (OR_(standardised)),Yes,"I put yes but I think it is very vague: "" When the values of I2 were greater than 50%, the random-effects inverse-variance model was used to compute the combined estimates.""",Yes,"""random-effects inverse-variance model"" in methods ",No,,Yes,In figures 2 and 3,Yes,I^2 ,Yes,""" We also evaluated the potential publication bias with funnel plots (Supplementary Figures S7–S12) when 10 or more studies were included [27]....  Additionally, we used an Egger test to evaluate publication bias.""",Yes,"""The stability of the pooled data was evaluated using the one-study deletion sensitivity analysis, which involved repeatedly combining estimations and removing one study at a time.""",No,,,,,12:04
Kyle Morrison,s_07,Assessing the effect of mHealth on child feeding practice in African countries: systematic and meta-analysis,15:21,Yes,,,revman,Yes,,No,,No,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,15:29
Zachary Simpson,s_07,Assessing the effect of mHealth on child feeding practice in African countries: systematic and meta-analysis,11:08,Yes,Revman 5.4.1 (page 3),,"To my understanding, Revman does not output reproducible code.",Yes,First paragraph of results (6 studies after screening).,No,"Tough to judge here, as I think the authors just imply that it's one effect size per study -- nothing explicit given.",No,"While forest plots and others mention the odds ratio, this was never described in the methods. ""Odds ratio"" does not get mentioned in the text.",Yes,"On page 4, ""We assumed a random effect model as our studies consider all regions in the African continent.""",Yes,"The forest plots report weights which appear to be based on sample sizes; however, this isn't really detailed in the text. (Perhaps this item could be a 'No')",No,"The authors seem to imply that within-study dependence is not a factor; i.e., one study is one effect size.",Yes,Given in forest plots.,Yes,Tau^2 and I^2 given in forest plots,Yes,"Funnel plots, Egger's test, and Cochrane Collaboration Risk of Bias tool (page 4; Fig 7).",Yes,"The authors perform multiple analyses here, given as additional forest plots. This included types of interventions, region of Africa, experimental design, and sample size.",Yes,"Authors stated that ""This submission contains all the data used in the review."" and I suppose that is the case (the dataset is just very simple). The data can be aggregated through the figures and tables. ",Yes,"Yes, just very simple: described in top-right paragraph on page 3.","I would consider this meta-analysis to not be within the ""environmental sciences"" yet that doesn't seem to affect the use of MATES. Playing devil's advocate: What is it about MATES that pertains to the 'ES' ?",11:46
Dakis-Yaoba Ouédraogo,s_07,Assessing the effect of mHealth on child feeding practice in African countries: systematic and meta-analysis,12:17,Yes,"page 3 ""The Revman software with version 5.4.1 and comprehensive
meta-analysis [CMA] prediction interval [46]
were used for the analysis of this study""",,The authors have used a GUI/click based software that does not produce a code (Revman and comprehensive meta-analysis),Yes,Fig 1,Yes,One study = one effect size,No,No formula or reference found for odds ratio,Yes,"Page 4, random effect model",Yes,Weight values in Fig 4,Yes,No explicit report of independence but it is obvious as one study = one effect size,Yes,Fig 4,Yes,Fig 4,Yes,Fig 7 ,Yes,Page 5 sensitivity test,Yes,Fig 4,Yes,Table 1,,12:31
Pietro Pollo,s_07,Assessing the effect of mHealth on child feeding practice in African countries: systematic and meta-analysis,14:44,Yes,"Page 3, Statistical methods and analysis section: ""The Revman software with version 5.4.1 and comprehensive meta-analysis [CMA] prediction interval [46] were used for the analysis of this study.""",,Click based software,Yes,"Page 5, Figure 1",No,Not found,No,Not found,Yes,"Start of page 4: ""We assumed a random effect model as our studies consider all regions in the African continent.""",No,Not found,No,Not found,Yes,"Page 8, figure 4",Yes,"Page 8, figures 4 and 6.",Yes,"Page 9, figure 7.",Yes,"Page 8, figure 6",Yes,"Page 8 and 9, within figures 4, 6, and 8.",No,No metadata but data was given within forest plots (perhaps unnecessary),,14:58
Kyle Morrison,s_08,Association between Air Pollutants and the Risk of Sleep Disorders: A Systematic Review and Meta-analysis,11:03,Yes,,No,,Yes,,No,,No,,Yes,,No,says weighted but not the weighting straregy,No,,Yes,,Yes,,Yes,,Yes,,No,,,,,11:06
Kok Sin Woon,s_08,Association between Air Pollutants and the Risk of Sleep Disorders: A Systematic Review and Meta-analysis,22:19,Yes,All statistical analyses were performed using STATA version 12 (page 3),No,No code found in the paper.,Yes,"Of the other 19 articles, 10 ... met our inclusion criteria after full texts were screened (page 3)",No,,Yes,"The authors report the formulas used for the effect size statistics in the manuscript. They provide standardized formulas for Odds Ratios (ORs), Relative Risks (RRs), Hazard Ratios (HRs), and confidence intervals. Formula in page 3.",Yes,"The authors applied a random effects model for the meta-analysis due to expected heterogeneity among studies.

Owing to the differences between study years, study designs, exposure assessments, study areas, and populations, the overall effect estimates were expected to be significant variation and heterogeneity. A random effect model was applied to calculate pooled ORs due to the potential heterogeneity. Heterogeneity was tested through the I2 statistics and Cochrane’s Q test. (page 3)",No,,Yes,"The pooled effect estimates between PM2.5 exposure and the risk of sleep disorders could be obviously influenced by the studies of (Tsai et al., 2022) and (Wang et al., 2020b). After removing Tsai’s article, the pooled OR and 95% CI changed from 2.50 (1.87, 3.32) to 1.55 (1.30, 1.84). Conversely, after we deleted Xu’s article, the estimated values became 2.80 (1.92, 4.10). (page 8)",Yes,"NO2 exposure and sleep disorders (for each 10 µg m–3 PM2.5, OR: 2.50, 95% CI: 1.87–3.32, I2: 99.2%; each 10 µg m–3 PM10, OR: 1.15, 95% CI: 1.06–1.24, I2: 96.5%; and each 10 µg m–3 NO2, OR: 1.36; 95% CI: 1.17–1.59, I2: 95.3%) (page 8)

Table 2 summarizes the odds ratios (ORs) and 95% confidence intervals (CIs) for various subgroups.",Yes,"Heterogeneity was tested through the I² statistics and Cochrane’s Q test. The degree of heterogeneity across trials was measured by the I² statistic, which ranges from 0% to 100%. It classified heterogeneity as low (I² ≤ 25%), moderate (25 < I² < 75%), or high (I² ≥ 75%). A larger value of I² indicates greater heterogeneity. In general, there is heterogeneity when the P value of Q test is less than 0.05 (page 3)",Yes,"Funnel plot, Begg’s and Egger’s tests were performed to examine the potential publication bias of included studies. (page 3)

no publication bias was found in the studies on the association between PM2.5,
PM10, NO2 exposure, and the risk of sleep disorders (Egger’s test for asymmetry, p = 0.287, 0.518, 0.274, respectively). (page 8)",Yes,"We performed sensitivity analyses to assess our results’ robustness, and the results plots are shown in Figs. S1–S3 (page 8)",No,,No,,"1. The process can be expedited through keywords search. 
2. Most information are centered in methodology and results and discussion part.",23:37
Jelaine Gan,s_08,Association between Air Pollutants and the Risk of Sleep Disorders: A Systematic Review and Meta-analysis,12:46,Yes,"STATA

",,,Yes,fig 1,Yes,,Yes,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,Yes,,No,,,,,13:02
Evangelia Ntzani,s_08,Association between Air Pollutants and the Risk of Sleep Disorders: A Systematic Review and Meta-analysis,2:04,Yes,All statistical analyses were performed using STATA version 12.,No,Code not provided,Yes,"After viewing the titles and abstracts, 17995 articles were excluded. 13 duplicates were deleted. Of the other 19 articles, 10 (Chen et al., 2019; Lawrence et al., 2018; Li et al., 2020; Liu et al., 2023; Nakhjirgan et al., 2019; Tsai et al., 2022; Wang et al., 2020a, 2020b; Xu et al., 2021; Yu et al., 2021) met our inclusion criteria after full texts were screened. Characteristics of included studies in this meta-analysis are shown in Table 1.",Yes,"no, number not provided",Yes,"The formulas for standardized ORs, RRs, HRs, LCIs (low confidence intervals), and HCIs (high confidence interval) are as follows:
= ORincrement(standardized) increment(original) (1) original
=RRincrement(standardized) increment(original) (2) original
=HRincrement(standardized) increment(original) (3) original
OR
RR HR
",Yes,"Owing to the differences between study years, study designs, exposure assessments, study areas, and populations, the overall effect estimates were expected to be significant variation and heterogeneity. A random effect model was applied to calculate pooled ORs due to the potential heterogeneity. ",Yes,Figures 2 to 4,No,Dependence not discussed,Yes,Figures 2 to 4 plus text,Yes,"Heterogeneity was tested through the I2 statistics and Cochrane’s Q test. The degree of heterogeneity across trials was measured by the I2 statistic, which ranges from 0% to 100%. It classified heterogeneity as low (I2 ≤ 25%), moderate (25 < I2 < 75%), or high (I2 ≥ 75%). A larger value of I2 indicates greater heterogeneity. In general, there is heterogeneity when the P value of Q test is less than 0.05. After that, subgroup analysis was conducted to find the source of the high heterogeneity.

Plus Figures 2 to 4
Plus text",Yes,"Funnel plot, Begg’s and Egger’s tests were performed to examine the potential publication bias of included studies.

The funnel plots and plots of Egger’s test are shown in Figs. S4–S9.",Yes,We performed sensitivity analyses to examine the stability of the pooled effect size by removing each study successively. The sensitivity analyses were only conducted for the meta-analyses that included more than five studies. The forest plots summarized the ORs of each included study.,No,Not provided,,Data not provided,Good reporting quality,2:16
Kyle Morrison,s_09,Association between cadmium exposure and the risk of cardiovascular outcomes: a meta-analysis,14:33,Yes,,No,,Yes,,No,,No,,Yes,,No,,No,,Yes,,Yes,,Yes,,Yes,,No,,,,,14:40
Shinichi Nakagawa,s_09,Association between cadmium exposure and the risk of cardiovascular outcomes: a meta-analysis,17:26,Yes,,No,,Yes,,No,,No,,Yes,,No,,No,,Yes,,Yes,,Yes,,Yes,,No,,,,,17:33
Erin Macartney,s_09,Association between cadmium exposure and the risk of cardiovascular outcomes: a meta-analysis,11:51,Yes,Statistical analysis,,"They used Stata - this uses both GUI and coding language. It is unclear which one they used other than stating ""with the meta-command""",Yes,Fig. 1,No,Don't explicitly state this but show exposure specimens in Fig. 2B,No,Just state that they look at the relationship between cadmium exposure and outcome events. ,No,,No,,No,,Yes,"Multiple models (i.e., sub-analyses). Fig. 3, 4,  5. and 6",Yes,I2 - in figures,Yes,Fig. 7 ,Yes,Fig. 8,No,They state to contact the corresponding author for data,No,They have reported what data was extracted but no descriptions of them,,12:14
Guang Hao,s_09,Association between cadmium exposure and the risk of cardiovascular outcomes: a meta-analysis,12:47,Yes,,No,,Yes,,No,,Yes,,No,,Yes,,No,,Yes,,Yes,,Yes,,Yes,,No,,Yes,,,12:58
Mojtaba Keikha,s_09,Association between cadmium exposure and the risk of cardiovascular outcomes: a meta-analysis,17:46,Yes,,,,Yes,,No,,No,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,Yes,,No,,Yes,,"Thank you for my invitation.
Regards.",18:04
