StartDate,EndDate,Status,IPAddress,Progress,Duration,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q_DataPolicyViolations
11/06/2024 2:46,11/06/2024 3:13,IP Address,sensitive data,100,1660,TRUE,11/06/2024 3:13,sensitive data,,,,,sensitive data,sensitive data,anonymous,EN,sensitive data,,Extremely easy,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Extremely easy,sensitive data,Somewhat easy,sensitive data,Extremely easy,sensitive data,Somewhat easy,sensitive data,
15/06/2024 18:58,15/06/2024 19:15,IP Address,sensitive data,100,1014,TRUE,15/06/2024 19:15,sensitive data,,,,,sensitive data,sensitive data,anonymous,EN,sensitive data,"We can use the keyword ""software"" to identify this question. It is suggested to provide a list of common software as example or for selection (i.e., STATA, Matlab, Python) ",Extremely easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Neither easy nor difficult,sensitive data,Neither easy nor difficult,sensitive data,Somewhat easy,sensitive data,Neither easy nor difficult,sensitive data,Neither easy nor difficult,sensitive data,Somewhat difficult,sensitive data,Somewhat easy,sensitive data,
17/06/2024 9:17,17/06/2024 9:54,IP Address,sensitive data,100,2275,TRUE,17/06/2024 9:54,sensitive data,,,,,sensitive data,sensitive data,anonymous,EN,sensitive data,,Extremely easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Somewhat difficult,sensitive data,Somewhat easy,sensitive data,Somewhat difficult,sensitive data,Somewhat difficult,sensitive data,Somewhat difficult,sensitive data,Somewhat easy,sensitive data,Extremely easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,
18/06/2024 1:10,18/06/2024 1:37,IP Address,sensitive data,100,1624,TRUE,18/06/2024 1:37,sensitive data,,,,,sensitive data,sensitive data,anonymous,EN,sensitive data,"
I would say that the software is not the most important; what matters is the details of the models used. If possible, include details such as the estimator of tau2 (DerSimonian, others), how the confidence intervals are calculated (parametric, non-parametric, etc.). This will have a much greater impact on the results than the software used, I believe.",Extremely easy,sensitive data,Somewhat easy,sensitive data,Extremely easy,sensitive data,Somewhat difficult,sensitive data,Neither easy nor difficult,sensitive data,Neither easy nor difficult,sensitive data,Neither easy nor difficult,sensitive data,Neither easy nor difficult,sensitive data,Extremely easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Neither easy nor difficult,sensitive data,Neither easy nor difficult,sensitive data,Somewhat difficult,sensitive data,
18/06/2024 6:29,18/06/2024 7:06,IP Address,sensitive data,100,2215,TRUE,18/06/2024 7:06,sensitive data,,,,,sensitive data,sensitive data,anonymous,EN,sensitive data,,Extremely easy,sensitive data,Neither easy nor difficult,sensitive data,Somewhat easy,sensitive data,Neither easy nor difficult,sensitive data,Neither easy nor difficult,sensitive data,Neither easy nor difficult,sensitive data,Neither easy nor difficult,sensitive data,Neither easy nor difficult,sensitive data,Neither easy nor difficult,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Neither easy nor difficult,sensitive data,Neither easy nor difficult,sensitive data,Neither easy nor difficult,sensitive data,
19/06/2024 0:39,19/06/2024 0:52,IP Address,sensitive data,100,776,TRUE,19/06/2024 0:52,sensitive data,,,,,sensitive data,sensitive data,anonymous,EN,sensitive data,,Extremely easy,sensitive data,Somewhat difficult,sensitive data,Extremely easy,sensitive data,Neither easy nor difficult,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Extremely easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Somewhat difficult,sensitive data,Somewhat difficult,sensitive data,
20/06/2024 11:24,20/06/2024 15:04,IP Address,sensitive data,100,13172,TRUE,20/06/2024 15:04,sensitive data,,,,,sensitive data,sensitive data,anonymous,EN,sensitive data,,Extremely easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Neither easy nor difficult,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Somewhat difficult,sensitive data,Neither easy nor difficult,sensitive data,Somewhat easy,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,Somewhat easy,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,
22/06/2024 15:29,22/06/2024 16:00,IP Address,sensitive data,100,1827,TRUE,22/06/2024 16:00,sensitive data,,,,,sensitive data,sensitive data,anonymous,EN,sensitive data,"Unclear how specific the information needs to be. In a few instances, authors reported the use of R but without details on the packages used.",Neither easy nor difficult,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,Neither easy nor difficult,sensitive data,Neither easy nor difficult,sensitive data,Extremely easy,sensitive data,Somewhat easy,sensitive data,Extremely easy,sensitive data,Neither easy nor difficult,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,Neither easy nor difficult,sensitive data,Somewhat easy,sensitive data,Neither easy nor difficult,sensitive data,
26/06/2024 1:47,26/06/2024 4:12,IP Address,sensitive data,100,8722,TRUE,26/06/2024 4:13,sensitive data,,,,,sensitive data,sensitive data,anonymous,EN,sensitive data,"You could brief the parenthetical as it refers to 'analysis': ""(i.e., computations, statistical modeling, and inferences comprising the meta-analysis)""",Extremely easy,sensitive data,Somewhat easy,sensitive data,Extremely easy,sensitive data,Neither easy nor difficult,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Neither easy nor difficult,sensitive data,Neither easy nor difficult,sensitive data,Extremely easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,
27/06/2024 5:05,27/06/2024 5:38,IP Address,sensitive data,100,1983,TRUE,27/06/2024 5:38,sensitive data,,,,,sensitive data,sensitive data,anonymous,EN,sensitive data,"In some cases, different softwares are used according to the analysis performed, and I would like to know if this information was important to discriminate it, since I have mostly surveyed one of them and not all of them.",Somewhat easy,sensitive data,Neither easy nor difficult,sensitive data,Extremely easy,sensitive data,Somewhat easy,sensitive data,Neither easy nor difficult,sensitive data,Neither easy nor difficult,sensitive data,Somewhat difficult,sensitive data,Extremely difficult,sensitive data,Somewhat easy,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,Somewhat easy,sensitive data,Neither easy nor difficult,sensitive data,
28/06/2024 17:39,28/06/2024 19:42,IP Address,sensitive data,100,7349,TRUE,28/06/2024 19:42,sensitive data,,,,,sensitive data,sensitive data,anonymous,EN,sensitive data,,Extremely easy,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Extremely easy,sensitive data,Somewhat easy,sensitive data,Neither easy nor difficult,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,Somewhat easy,sensitive data,Extremely easy,sensitive data,Somewhat difficult,sensitive data,
30/06/2024 17:20,30/06/2024 17:22,IP Address,sensitive data,100,174,TRUE,30/06/2024 17:23,sensitive data,,,,,sensitive data,sensitive data,anonymous,EN,sensitive data,,Extremely easy,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,Neither easy nor difficult,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,Somewhat easy,sensitive data,Neither easy nor difficult,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,Somewhat easy,sensitive data,Neither easy nor difficult,sensitive data,
03/07/2024 21:54,03/07/2024 22:00,IP Address,sensitive data,100,302,TRUE,03/07/2024 22:00,sensitive data,,,,,sensitive data,sensitive data,anonymous,EN,sensitive data,,Extremely easy,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,Somewhat difficult,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,Extremely easy,sensitive data,
19/07/2024 17:27,19/07/2024 20:20,IP Address,sensitive data,100,10365,TRUE,19/07/2024 20:20,sensitive data,,,,,sensitive data,sensitive data,anonymous,EN,sensitive data,It is generally very easy to identify software in the statistical sections,Extremely easy,sensitive data,Somewhat easy,sensitive data,Extremely easy,sensitive data,Somewhat difficult,sensitive data,Neither easy nor difficult,sensitive data,Somewhat easy,sensitive data,Somewhat difficult,sensitive data,Somewhat difficult,sensitive data,Somewhat easy,sensitive data,Somewhat easy,sensitive data,Neither easy nor difficult,sensitive data,Neither easy nor difficult,sensitive data,Neither easy nor difficult,sensitive data,Neither easy nor difficult,sensitive data,
