Article_title,Article_doi
Assessing the effect of mHealth on child feeding practice in African countries: systematic and meta-analysis,10.1186/s41043-023-00487-y
Psychological correlates of e-waste recycling intentions and behaviors: A meta-analysis,10.1016/j.resconrec.2024.107462
Prevalence and concentration of ochratoxin a in spices: a global systematic review and meta-analysis study,10.1080/03067319.2023.2194021
FSC forest certification effects on biodiversity: A global review and meta-analysis,10.1016/j.scitotenv.2023.168296
Is Cr(III) re-oxidation occurring in Cr-contaminated soils after remediation: Meta-analysis and machine learning prediction,10.1016/j.jhazmat.2023.133342
Effect of soil amendments on trace element-mediated oxidative stress in plants: Meta-analysis and mechanistic interpretations,10.1016/j.jhazmat.2020.124881
Global prevalence and genotype distribution of Microsporidia spp. in various consumables: a systematic review and meta-analysis,10.2166/wh.2023.042
A Systematic Review and Meta-Analysis of the Effectiveness of Non-Face-to-Face Coaching,10.3390/su15129727
Exposure to atrazine by drinking water and the increased risk of neonatal complications in consequence: a meta-analysis,10.1080/09603123.2023.2219980
Meta-analysis of agroecological technologies and practices in the sustainable management of banana pests and diseases,10.1007/s10668-023-03570-w
The influence of grazing intensity on soil organic carbon storage in grassland of China: A meta-analysis,10.1016/j.scitotenv.2024.171439
Phytotoxicological effects of phytosynthesized nanoparticles: A systematic review and meta-analysis,10.1080/10643389.2024.2303299
The association between exposure to polycyclic aromatic hydrocarbons and birth outcomes: A systematic review and meta-analysis of observational studies,10.1016/j.scitotenv.2023.166922
Can individual protective measures safeguard cardiopulmonary health from air pollution? A systematic review and meta-analysis,10.1016/j.envres.2023.115708
Factors influencing cadmium accumulation in plants after inoculation with rhizobacteria: A meta-analysis,10.1016/j.scitotenv.2024.170277
What really influences the development of renewable energy? A systematic review and meta-analysis,10.1007/s11356-023-26286-w
Effects of Biochar on Methane Emissions and Crop Yields in East Asian Paddy Fields: A Regional Scale Meta-Analysis,10.3390/su15129200
Association between exposure to persistent organic pollutants and pubertal timing in boys and girls: A systematic review and meta-analysis,10.1016/j.ecoenv.2023.115540
Synergistic improvement of carbon sequestration and crop yield by organic material addition in saline soil: A global meta-analysis,10.1016/j.scitotenv.2023.164530
Associations between maternal exposure to perfluoroalkylated substances (PFASs) and infant birth weight: a meta-analysis,10.1007/s11356-023-28458-0
Household food waste and theory of planned behavior: A systematic review and meta-analysis,10.1007/s11356-023-29141-0
The effects of iron-based nanomaterials (Fe NMs) on plants under stressful environments: Machine learning-assisted meta-analysis,10.1016/j.jenvman.2024.120406
Fluoride exposure and cognitive neurodevelopment: Systematic review and dose-response meta-analysis,10.1016/j.envres.2023.115239
Effects of intercropping on soil greenhouse gas emissions - A global meta-analysis,10.1016/j.scitotenv.2024.170632
The associations of secondhand smoke exposure with neurodevelopmental disorders and critical time window identification: A systematic review and meta-analysis,10.1016/j.scitotenv.2023.169649
Sex difference of pre- and post-natal exposure to six developmental neurotoxicants on intellectual abilities: a systematic review and meta-analysis of human studies,10.1186/s12940-023-01029-z
Effect of rewetting degraded peatlands on carbon fluxes: a meta-analysis,10.1007/s11027-023-10046-9
Effects of agricultural land types on microplastic abundance: A nationwide meta-analysis in China,10.1016/j.scitotenv.2023.164400
"Prevalence of Listeria monocytogenes and other Listeria species in fish, fish products and fish processing environment: A systematic review and meta-analysis",10.1016/j.scitotenv.2023.167912
The role of environmental pollutants in body composition: Systematic review and meta-analysis,10.1016/j.envres.2023.115840
