StartDate,EndDate,Status,IPAddress,Progress,Duration,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_6_TEXT,Q2,Q2_4_TEXT,Q3,Q3_1_TEXT,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q_DataPolicyViolations
14/11/2023 18:24,14/11/2023 18:28,IP Address,143.58.227.204,100,205,TRUE,14/11/2023 18:28,R_cCOvqW9uI50RNFn,,,,,53.4788,-2.2585,anonymous,EN-GB,Early career researcher,,"Author,Reviewer",,"I have heard of an appraisal tool(s),No experience",,Extremely important,,Extremely important,,Extremely important,,Moderately important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,Very important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,,,
14/11/2023 19:04,14/11/2023 19:07,IP Address,160.217.255.71,100,178,TRUE,14/11/2023 19:07,R_3JL7dfzyOX3vbpx,,,,,48.9746,14.4679,anonymous,EN-GB,PhD student,,Author,,I have heard of an appraisal tool(s),,Very important,,Very important,,Not at all important,,Moderately important,,Very important,,Moderately important,,Very important,,Very important,,Extremely important,,Extremely important,,Extremely important,,Moderately important,,Very important,,Very important,,Extremely important,,Very important,,Slightly important,,,,
14/11/2023 19:16,14/11/2023 19:37,IP Address,82.34.33.192,100,1263,TRUE,14/11/2023 19:37,R_2TTrViBta1XxFmH,,,,,51.5323,0.7101,anonymous,EN-GB,Senior career researcher,,"Author,Reviewer,Editor",,I have used an appraisal tool(s),AMSTAR2; ROBIS; CASP; JBI,Extremely important,So that it can be replicated.  I like R because the code and data can be published.  RevMan which a lot of people use has its own format.,Extremely important,Same as before,Extremely important,"It all goes together, if you say what you are using give the version number.  It is probably more important with R than RevMan because R is more dynamic - especially metafor which they do a great job of updating.",Very important,You just can't with RevMan - which is why R is better,Extremely important,"I think the statistical notation can be confusing, we all know (I think) what a fixed/random/mixed model is.  I would advise just saying it and putting a reference for those who are interested.",Very important,Just a sentence will do.  It gives the reader an idea if they know what they are doing (for example using a fixed-effects model because there 'was no heterogeneity' is not a great sign),Moderately important,It is really only important if they are dong something different.,Extremely important,"A lot of people won't understand the importance of this, but it is pretty important because obviously the SE will be wrong if they don't account for it.  Being in the final tool might make people more aware of the issue as well.",Extremely important,"Maybe add, 'is is correctly described' - they are often not correctly described.",Extremely important,,Moderately important,"People should consider them for sure, I am less impressed by the actual measures.  I would say have they considered publication bias, with a test if appropriate.",Moderately important,"This is so contextual, again I would probably say 'have they considered the need for sensitivity analyses and reported if necessary'",Extremely important,"Basic information, must include this.",Extremely important,"Same as before, need to know this.",Extremely important,"Forest plot must be in the main text.  With regards to other graphics, if it is vital for understanding the results it must be in the main paper, supplementary material must be just that.  I would say 'Are all visualisations necessary for understanding the meta-analysis contained within the main paper' ",Extremely important,Important for replicability,Extremely important,As before - for replicability,"This may be beyond the reach of the tool, but I would like items of the correct interpretation of the models (fixed/random) and the heterogeneity statistics.  
State the null/hypothesis maybe?  
Use of prediction intervals if appropriate",,
14/11/2023 20:31,14/11/2023 20:36,IP Address,143.169.158.173,100,289,TRUE,14/11/2023 20:36,R_3EsddVa8D2zoV2W,,,,,51.1662,4.4487,anonymous,EN-GB,Early career researcher,,Reviewer,,No experience,,Extremely important,,Extremely important,,Very important,,Very important,,Very important,,Extremely important,,Very important,,Very important,,Very important,,Extremely important,,Moderately important,,Moderately important,,Extremely important,,Very important,,Very important,,Very important,,Very important,,,,
14/11/2023 20:35,14/11/2023 20:48,IP Address,134.102.77.215,100,776,TRUE,14/11/2023 20:48,R_RyHr436B983Uht7,,,,,53.1063,8.7755,anonymous,EN-GB,Middle career researcher,,Author,,No experience,,Very important,"Different softwares can have differnet biases, so it has to be reported",Extremely important,"Different packages can give different results, so this increases repeatability",Extremely important,Different versions can give slightly different results,Very important,"At least a sample code should be reported, so the tiny factors that can cause differences can be controlled",Very important,Every model that provides results in the manuscript should be reported.,Moderately important,"There is not much choice in a meta-analysis, so the few constrains and assumptions should be reported, but there is not a big variety so not much justification is needed",Extremely important,If there is one sure,Extremely important,"That is usually need mixed models, so definitly",Very important,,Very important,,Extremely important,,Slightly important,,Extremely important,,Extremely important,,Very important,,Very important,,Very important,,"PRISMA graph and a PICO, as it contains the search terms, the planned statistics and variables, with the results of each sorting phase",,
14/11/2023 21:52,14/11/2023 21:55,IP Address,200.235.137.184,100,194,TRUE,14/11/2023 21:55,R_XH834CZiysSzC2B,,,,,-20.6674,-43.065,anonymous,EN-GB,PhD student,,Author,,I have heard of an appraisal tool(s),,Very important,,Very important,,Very important,,Very important,,Very important,,Very important,,Very important,,Slightly important,,Slightly important,,Slightly important,,Very important,,Very important,,Moderately important,,Extremely important,,Extremely important,,Moderately important,,Moderately important,,,,
14/11/2023 21:40,14/11/2023 21:56,IP Address,200.235.137.184,100,939,TRUE,14/11/2023 21:56,R_3Puxu7TSNKj4kJL,,,,,-20.6674,-43.065,anonymous,EN-GB,Masters/Honours student,,Author,,I have heard of an appraisal tool(s),,Very important,,Very important,Acesso gratuito e cursos,Very important,,Extremely important,,Extremely important,,Slightly important,,Moderately important,,Extremely important,,Extremely important,,Moderately important,,Very important,,Very important,,Slightly important,,Slightly important,,Extremely important,,Slightly important,,Slightly important,,,,
14/11/2023 22:12,14/11/2023 22:34,IP Address,134.225.31.152,100,1310,TRUE,14/11/2023 22:34,R_2CIeRhz4LrLbSSy,,,,,51.4566,-0.968,anonymous,EN-GB,Early career researcher,,Author,,I have heard of an appraisal tool(s),,Extremely important,,Extremely important,,Extremely important,,Slightly important,,Extremely important,,Very important,,Very important,,Very important,,Very important,,Extremely important,,Very important,,Very important,,Extremely important,,Extremely important,,Very important,,Moderately important,,Moderately important,,"A few thoughts:
- perhaps some criteria around the literature search should be included? E.g. does the study state the literature selection criteria, search terms, literature databases used, inclusion/exclusion criteria
- clear definitions/criteria of treatment vs control groups?
- choice of effect size (e.g. SMD) and justification?
- a clear statement of any random effects and nesting of random effects?","This could be a very useful tool, congratulations on the great work so far.",
15/11/2023 2:24,15/11/2023 2:37,IP Address,213.89.57.201,100,776,TRUE,15/11/2023 2:37,R_3HNDBY2WaHjnjhR,,,,,58.4016,15.6462,anonymous,EN-GB,Senior career researcher,,Author,,I have heard of an appraisal tool(s),,Extremely important,,Extremely important,,Moderately important,,Very important,,Very important,,Very important,,Extremely important,,Extremely important,Unfortunately non-independence is seldom properly treated in meta-analyses.,Very important,,Extremely important,,Very important,,Moderately important,,Extremely important,,Extremely important,,Slightly important,,Extremely important,,Extremely important,,,,
15/11/2023 3:20,15/11/2023 3:25,IP Address,109.149.194.136,100,286,TRUE,15/11/2023 3:25,R_23gkXXflYpic1eP,,,,,50.9027,-0.0124,anonymous,EN-GB,Senior career researcher,,"Author,Reviewer,Editor",,I have heard of an appraisal tool(s),,Extremely important,,Extremely important,,Very important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,Moderately important,,Moderately important,,Extremely important,,Extremely important,,Moderately important,,Extremely important,,Not at all important,,,This is so weird. Meta-analysis is a statistical method. Just follow best practice in statistics.,
15/11/2023 9:18,15/11/2023 9:25,IP Address,149.171.173.85,100,428,TRUE,15/11/2023 9:25,R_31mU6XadRE2wftS,,,,,-33.8715,151.2006,anonymous,EN-GB,Senior career researcher,,"Author,Reviewer,Editor",,I have heard of an appraisal tool(s),,Extremely important,"Reporting the software used to conduct the meta-analysis is important for several reasons. First, it allows other researchers to replicate the analysis and to verify the results. Second, it provides information about the capabilities and limitations of the software used, which can be helpful for other researchers when choosing software for their own meta-analyses. Third, it helps to ensure that the meta-analysis was conducted in a transparent and reproducible manner.",Extremely important,"Reporting the packages used to conduct the meta-analysis is important for the same reasons as reporting the software used. Additionally, it can be helpful for other researchers to know which packages were used to conduct specific tasks in the meta-analysis, such as data extraction, data analysis, and visualization.",Very important,"Reporting the version numbers of the software used to conduct the meta-analysis is important because different versions of software may have different features and functionality. By reporting the version numbers of the software used, other researchers can be sure that they are using the same software with the same features and functionality to replicate the meta-analysis.",Extremely important,"Reporting the code used to conduct the meta-analysis is important for several reasons. First, it allows other researchers to replicate the analysis and to verify the results. Second, it provides information about the specific steps that were taken to conduct the meta-analysis, which can be helpful for other researchers when developing their own meta-analysis code. Third, it helps to ensure that the meta-analysis was conducted in a transparent and reproducible manner.",Extremely important,Reporting the primary model (or first model) used to conduct the meta-analysis is important because it allows other researchers to understand the specific assumptions that were made about the data and the statistical methods that were used. This information is essential for replicating the meta-analysis and for interpreting the results.,Very important,Reporting a justification for the primary model (or first model) used to conduct the meta-analysis is important because it helps other researchers to understand why the chosen model was the most appropriate one for the data and the research question. This information can be helpful for other researchers when choosing a model for their own meta-analyses.,Extremely important,Reporting a weighting scheme for effect size estimates in a meta-analysis is important because it allows other researchers to understand how the different studies in the meta-analysis were weighted relative to each other. This information is essential for interpreting the results of the meta-analysis.,Very important,"Reporting whether there is non-independence of effect size estimates in a meta-analysis is important because non-independence can affect the validity of the results. By reporting whether there is non-independence, other researchers can be aware of this potential problem and can take steps to address it in their own meta-analyses.",Extremely important,"Reporting a measure of heterogeneity between effect size estimates in a meta-analysis is important because it allows other researchers to understand how much the effect sizes vary across the studies in the meta-analysis. This information is essential for interpreting the results of the meta-analysis.
",Very important,Reporting the moderator variables included in a meta-regression in a meta-analysis is important because it allows other researchers to understand how the effect sizes vary depending on the characteristics of the studies. This information can be helpful for identifying the factors that influence the effect size and for developing theories about the underlying mechanisms.,Very important,"Reporting a sensitivity analysis in a meta-analysis is important because it allows other researchers to assess the robustness of the results to different assumptions and decisions. By reporting a sensitivity analysis, other researchers can be confident that the results of the meta-analysis are not simply due to the specific choices that were made in the analysis.",Extremely important,"Reporting the total number of studies included in the meta-analysis is important because it allows readers to assess the comprehensiveness of the review and the size of the evidence base. This information is also essential for assessing the generalizability of the findings.
",Extremely important,,Very important,,Very important,,Extremely important,,Very important,,"Conflicts of interest: Reporting of conflicts of interest is important for assessing the credibility of the meta-analysis.

Funding sources: Reporting of funding sources is important for assessing the potential for bias in the meta-analysis

Protocol registration: Registration of the meta-analysis protocol is important for reducing the risk of bias",,
15/11/2023 10:43,15/11/2023 10:58,IP Address,196.188.180.74,100,901,TRUE,15/11/2023 10:58,R_1IAjXKRnKhut1ow,,,,,9.026,38.7439,anonymous,EN-GB,PhD student,,Author,,I have used an appraisal tool(s),,Very important,,Very important,,Very important,,Very important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/11/2023 10:59,15/11/2023 11:09,IP Address,196.188.180.74,100,619,TRUE,15/11/2023 11:09,R_1DFHmL8lyHX34se,,,,,9.026,38.7439,anonymous,EN-GB,,,,,,,,,,,,,Extremely important,,,,,,,,,,,,,,,,,,,,,,,,,,Extremely important,,,,
15/11/2023 11:52,15/11/2023 11:56,IP Address,210.26.112.108,100,292,TRUE,15/11/2023 11:56,R_2ZPH51p92icw61f,,,,,34.7732,113.722,anonymous,EN-GB,Middle career researcher,,"Author,Reviewer",,I have used an appraisal tool(s),"MetaWin, R",Extremely important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,none,none,
15/11/2023 13:34,15/11/2023 14:34,IP Address,120.85.130.207,100,3636,TRUE,15/11/2023 14:34,R_1rGi1iHt11wGl2E,,,,,23.1181,113.2539,anonymous,EN-GB,Middle career researcher,,"Author,Reviewer,Editor",,I have used an appraisal tool(s),AMSTAR 2,Very important,,Very important,,Very important,,Moderately important,,Extremely important,,Extremely important,,Very important,,Very important,,Extremely important,,Moderately important,,Extremely important,,Extremely important,,Extremely important,,Extremely important,,Very important,,Extremely important,,Extremely important,,"The MATES only focuse on the statistical procedure. A key requisite is having a clear and reasonable proposal, including research question, search strategy, inclusion and excusion criteria, etc.",,
15/11/2023 15:12,15/11/2023 15:20,IP Address,164.100.151.246,100,494,TRUE,15/11/2023 15:20,R_6QAn2XTr6DXo2Xv,,,,,28.6542,77.2373,anonymous,EN-GB,Middle career researcher,,Author,,I have used an appraisal tool(s),JBI,Very important,,Very important,,Moderately important,,Very important,,Very important,,Very important,,Very important,,Moderately important,,Very important,,Very important,,Very important,,Very important,,Very important,,Very important,,Extremely important,,Very important,,Very important,,None,"Looking forward to use MATES!! 
Well Done!!",
15/11/2023 18:01,15/11/2023 18:04,IP Address,150.254.164.85,100,194,TRUE,15/11/2023 18:04,R_2eOrXtZOxovlofx,,,,,52.2417,17.0866,anonymous,EN-GB,Early career researcher,,"Author,Reviewer",,I have used an appraisal tool(s),,Extremely important,,Extremely important,,Moderately important,,Not at all important,,Extremely important,,Extremely important,,Very important,,Extremely important,,Extremely important,,Extremely important,,Moderately important,,Moderately important,"it depends on the case, if there are several possible outliers it becomes important",Extremely important,,Extremely important,,Extremely important,,Very important,,Very important,,,,
