StartDate,EndDate,Status,IPAddress,Progress,Duration,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_6_TEXT,Q2,Q2_4_TEXT,Q3,Q3_1_TEXT,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q_DataPolicyViolations
14/11/2023 18:24,14/11/2023 18:28,IP Address,143.58.227.204,100,205,TRUE,14/11/2023 18:28,R_cCOvqW9uI50RNFn,,,,,53.4788,-2.2585,anonymous,EN-GB,Early career researcher,,"Author,Reviewer",,"I have heard of an appraisal tool(s),No experience",,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Moderately important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,data sensitive,data sensitive,
14/11/2023 19:04,14/11/2023 19:07,IP Address,160.217.255.71,100,178,TRUE,14/11/2023 19:07,R_3JL7dfzyOX3vbpx,,,,,48.9746,14.4679,anonymous,EN-GB,PhD student,,Author,,I have heard of an appraisal tool(s),,Very important,data sensitive,Very important,data sensitive,Not at all important,data sensitive,Moderately important,data sensitive,Very important,data sensitive,Moderately important,data sensitive,Very important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Moderately important,data sensitive,Very important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Slightly important,data sensitive,data sensitive,data sensitive,
14/11/2023 19:16,14/11/2023 19:37,IP Address,82.34.33.192,100,1263,TRUE,14/11/2023 19:37,R_2TTrViBta1XxFmH,,,,,51.5323,0.7101,anonymous,EN-GB,Senior career researcher,,"Author,Reviewer,Editor",,I have used an appraisal tool(s),AMSTAR2; ROBIS; CASP; JBI,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Moderately important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Moderately important,data sensitive,Moderately important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,data sensitive,data sensitive,
14/11/2023 20:31,14/11/2023 20:36,IP Address,143.169.158.173,100,289,TRUE,14/11/2023 20:36,R_3EsddVa8D2zoV2W,,,,,51.1662,4.4487,anonymous,EN-GB,Early career researcher,,Reviewer,,No experience,,Extremely important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Moderately important,data sensitive,Moderately important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,data sensitive,data sensitive,
14/11/2023 20:35,14/11/2023 20:48,IP Address,134.102.77.215,100,776,TRUE,14/11/2023 20:48,R_RyHr436B983Uht7,,,,,53.1063,8.7755,anonymous,EN-GB,Middle career researcher,,Author,,No experience,,Very important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Very important,data sensitive,Moderately important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Slightly important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,data sensitive,data sensitive,
14/11/2023 21:52,14/11/2023 21:55,IP Address,200.235.137.184,100,194,TRUE,14/11/2023 21:55,R_XH834CZiysSzC2B,,,,,-20.6674,-43.065,anonymous,EN-GB,PhD student,,Author,,I have heard of an appraisal tool(s),,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Slightly important,data sensitive,Slightly important,data sensitive,Slightly important,data sensitive,Very important,data sensitive,Very important,data sensitive,Moderately important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Moderately important,data sensitive,Moderately important,data sensitive,data sensitive,data sensitive,
14/11/2023 21:40,14/11/2023 21:56,IP Address,200.235.137.184,100,939,TRUE,14/11/2023 21:56,R_3Puxu7TSNKj4kJL,,,,,-20.6674,-43.065,anonymous,EN-GB,Masters/Honours student,,Author,,I have heard of an appraisal tool(s),,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Slightly important,data sensitive,Moderately important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Moderately important,data sensitive,Very important,data sensitive,Very important,data sensitive,Slightly important,data sensitive,Slightly important,data sensitive,Extremely important,data sensitive,Slightly important,data sensitive,Slightly important,data sensitive,data sensitive,data sensitive,
14/11/2023 22:12,14/11/2023 22:34,IP Address,134.225.31.152,100,1310,TRUE,14/11/2023 22:34,R_2CIeRhz4LrLbSSy,,,,,51.4566,-0.968,anonymous,EN-GB,Early career researcher,,Author,,I have heard of an appraisal tool(s),,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Slightly important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Moderately important,data sensitive,Moderately important,data sensitive,data sensitive,data sensitive,
15/11/2023 2:24,15/11/2023 2:37,IP Address,213.89.57.201,100,776,TRUE,15/11/2023 2:37,R_3HNDBY2WaHjnjhR,,,,,58.4016,15.6462,anonymous,EN-GB,Senior career researcher,,Author,,I have heard of an appraisal tool(s),,Extremely important,data sensitive,Extremely important,data sensitive,Moderately important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Moderately important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Slightly important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,data sensitive,data sensitive,
15/11/2023 3:20,15/11/2023 3:25,IP Address,109.149.194.136,100,286,TRUE,15/11/2023 3:25,R_23gkXXflYpic1eP,,,,,50.9027,-0.0124,anonymous,EN-GB,Senior career researcher,,"Author,Reviewer,Editor",,I have heard of an appraisal tool(s),,Extremely important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Moderately important,data sensitive,Moderately important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Moderately important,data sensitive,Extremely important,data sensitive,Not at all important,data sensitive,data sensitive,data sensitive,
15/11/2023 9:18,15/11/2023 9:25,IP Address,149.171.173.85,100,428,TRUE,15/11/2023 9:25,R_31mU6XadRE2wftS,,,,,-33.8715,151.2006,anonymous,EN-GB,Senior career researcher,,"Author,Reviewer,Editor",,I have heard of an appraisal tool(s),,Extremely important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,data sensitive,data sensitive,
15/11/2023 10:43,15/11/2023 10:58,IP Address,196.188.180.74,100,901,TRUE,15/11/2023 10:58,R_1IAjXKRnKhut1ow,,,,,9.026,38.7439,anonymous,EN-GB,PhD student,,Author,,I have used an appraisal tool(s),,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,,data sensitive,,data sensitive,,data sensitive,,data sensitive,,data sensitive,,data sensitive,,data sensitive,,data sensitive,,data sensitive,,data sensitive,,data sensitive,,data sensitive,,data sensitive,data sensitive,data sensitive,
15/11/2023 10:59,15/11/2023 11:09,IP Address,196.188.180.74,100,619,TRUE,15/11/2023 11:09,R_1DFHmL8lyHX34se,,,,,9.026,38.7439,anonymous,EN-GB,,,,,,,,data sensitive,,data sensitive,,data sensitive,Extremely important,data sensitive,,data sensitive,,data sensitive,,data sensitive,,data sensitive,,data sensitive,,data sensitive,,data sensitive,,data sensitive,,data sensitive,,data sensitive,,data sensitive,,data sensitive,Extremely important,data sensitive,data sensitive,data sensitive,
15/11/2023 11:52,15/11/2023 11:56,IP Address,210.26.112.108,100,292,TRUE,15/11/2023 11:56,R_2ZPH51p92icw61f,,,,,34.7732,113.722,anonymous,EN-GB,Middle career researcher,,"Author,Reviewer",,I have used an appraisal tool(s),"MetaWin, R",Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,data sensitive,data sensitive,
15/11/2023 13:34,15/11/2023 14:34,IP Address,120.85.130.207,100,3636,TRUE,15/11/2023 14:34,R_1rGi1iHt11wGl2E,,,,,23.1181,113.2539,anonymous,EN-GB,Middle career researcher,,"Author,Reviewer,Editor",,I have used an appraisal tool(s),AMSTAR 2,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Moderately important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Moderately important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,data sensitive,data sensitive,
15/11/2023 15:12,15/11/2023 15:20,IP Address,164.100.151.246,100,494,TRUE,15/11/2023 15:20,R_6QAn2XTr6DXo2Xv,,,,,28.6542,77.2373,anonymous,EN-GB,Middle career researcher,,Author,,I have used an appraisal tool(s),JBI,Very important,data sensitive,Very important,data sensitive,Moderately important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Moderately important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Very important,data sensitive,data sensitive,data sensitive,
15/11/2023 18:01,15/11/2023 18:04,IP Address,150.254.164.85,100,194,TRUE,15/11/2023 18:04,R_2eOrXtZOxovlofx,,,,,52.2417,17.0866,anonymous,EN-GB,Early career researcher,,"Author,Reviewer",,I have used an appraisal tool(s),,Extremely important,data sensitive,Extremely important,data sensitive,Moderately important,data sensitive,Not at all important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Moderately important,data sensitive,Moderately important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Very important,data sensitive,data sensitive,data sensitive,
15/11/2023 18:20,15/11/2023 18:48,IP Address,162.23.30.22,100,1674,TRUE,15/11/2023 18:48,R_3HGimYyKMRs7TqU,,,,,46.9571,7.4413,anonymous,EN-GB,Middle career researcher,,Author,,No experience,,Extremely important,data sensitive,Very important,data sensitive,Moderately important,data sensitive,Slightly important,data sensitive,Extremely important,data sensitive,Slightly important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Slightly important,data sensitive,Very important,data sensitive,Very important,data sensitive,Moderately important,data sensitive,Moderately important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,data sensitive,data sensitive,
15/11/2023 20:30,15/11/2023 20:33,IP Address,92.169.234.118,100,174,TRUE,15/11/2023 20:33,R_1DBFjIxQ9a9Hiy8,,,,,48.8323,2.4075,anonymous,EN-GB,Early career researcher,,Author,,I have used an appraisal tool(s),EPHPP,Very important,data sensitive,Very important,data sensitive,Moderately important,data sensitive,Moderately important,data sensitive,Moderately important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Very important,data sensitive,data sensitive,data sensitive,
15/11/2023 21:19,15/11/2023 21:34,IP Address,84.88.89.151,100,866,TRUE,15/11/2023 21:34,R_OBuKRinA3A2CSXL,,,,,41.6312,2.1606,anonymous,EN-GB,Early career researcher,,"Author,Reviewer",,No experience,,Extremely important,data sensitive,Very important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,data sensitive,data sensitive,
15/11/2023 22:15,15/11/2023 22:22,IP Address,87.202.101.156,100,438,TRUE,15/11/2023 22:22,R_1r0yeqaWSPLcCEL,,,,,40.6439,22.9358,anonymous,EN-GB,Middle career researcher,,Author,,No experience,,Moderately important,data sensitive,Very important,data sensitive,Moderately important,data sensitive,Moderately important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Moderately important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,data sensitive,data sensitive,
16/11/2023 1:34,16/11/2023 1:49,IP Address,198.55.239.42,100,858,TRUE,16/11/2023 1:49,R_3nvhJxTmYmudsIJ,,,,,43.7745,-72.4213,anonymous,EN-GB,PhD student,,Author,,I have heard of an appraisal tool(s),,Very important,data sensitive,Very important,data sensitive,Moderately important,data sensitive,Extremely important,data sensitive,Moderately important,data sensitive,Moderately important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Moderately important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,data sensitive,data sensitive,
15/11/2023 22:58,16/11/2023 3:26,IP Address,154.160.26.99,100,16097,TRUE,16/11/2023 3:26,R_1iaq97NOLEqMabG,,,,,5.5486,-0.2012,anonymous,EN-GB,PhD student,,"Author,Reviewer",,I have heard of an appraisal tool(s),,Extremely important,data sensitive,Extremely important,data sensitive,Not at all important,data sensitive,Very important,data sensitive,Slightly important,data sensitive,Very important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Very important,data sensitive,Slightly important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Very important,data sensitive,data sensitive,data sensitive,
16/11/2023 11:31,16/11/2023 11:36,IP Address,108.5.225.252,100,342,TRUE,16/11/2023 11:36,R_21pU2gd1HsOF1J0,,,,,40.4992,-74.4996,anonymous,EN-GB,Early career researcher,,Author,,No experience,,Very important,data sensitive,Very important,data sensitive,Very important,data sensitive,Moderately important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Very important,data sensitive,Moderately important,data sensitive,Very important,data sensitive,Very important,data sensitive,Moderately important,data sensitive,Moderately important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,Very important,data sensitive,Extremely important,data sensitive,Very important,data sensitive,data sensitive,data sensitive,
